工况,扰动幅度,扰动幅度百分比,样本数,安全样本数,安全率,最小安全系数,5%分位安全系数,中位安全系数,平均安全系数,最小裕度_kN
工况 A：岩层锚杆,0.1,10.0,5000,5000,1.0,1.0170724167512977,1.0861448556669533,1.2491389429100757,1.2516392244446364,2.570528583316218
工况 A：岩层锚杆,0.2,20.0,5000,4432,0.8864,0.8064837718749365,0.9308565538333889,1.2334659771686154,1.251302583778141,-32.75676197142374
工况 B：煤层锚杆,0.1,10.0,5000,4484,0.8968,0.7304906123679997,0.9464519072020049,1.2362703622863436,1.2511445325623423,-29.34658828171503
工况 B：煤层锚杆,0.2,20.0,5000,3529,0.7058,0.3897197841156444,0.6967638733521281,1.196208095842279,1.2290984716532665,-73.92308617152887
