工况,实际预紧力_kN,P1_锚杆屈服上限_kN,P2_锚固上限_kN,P3_压陷上限_kN,主控约束,主控失效模式,最小安全系数,最小裕度_kN,最大允许力矩_Nm,是否安全,角点编号,固定名义Topt_Nm,扰动_yield_load,扰动_hole_diameter,扰动_bond_length,扰动_elastic_modulus,扰动_poisson_ratio,扰动_tray_side,扰动_max_indent_depth,扰动_influence_depth,扰动_torque_conversion,扰动幅度,扰动幅度百分比,名义Topt绝对稳健,角点安全率,最坏允许力矩_Nm,名义Topt相对最坏上限比,稳健建议安全裕度系数_gamma,稳健建议力矩_Nm,稳健建议力矩相对名义值,稳健建议力矩角点最小安全系数,稳健建议力矩全部角点安全
工况 A：岩层锚杆,170.0,136.0,180.1514891274531,133.33333333333337,P3,围岩压陷极限,0.7843137254901963,-36.66666666666663,455.6800000000002,False,2,580.9920000000001,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.2,-0.2,0.2,20.0,False,0.734375,455.6800000000002,1.2749999999999997,0.8,364.54400000000015,0.6274509803921571,1.25,True
工况 B：煤层锚杆,123.07692307692308,164.0,101.33521263419236,40.000000000000014,P3,围岩压陷极限,0.3250000000000001,-83.07692307692307,219.4368000000001,False,2,675.1901538461539,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.2,-0.2,0.2,20.0,False,0.5625,219.4368000000001,3.0769230769230758,0.8,175.5494400000001,0.2600000000000001,1.25,True
