工况,普氏系数_f,约束,失效模式,原约束预紧力上限_kN,原约束力矩上限_Nm,安全裕度系数_gamma,模型边界力矩_Nm,模型Topt_Nm,Topt对应实际预紧力_kN,预紧力安全系数,力矩裕度_Nm,是否满足
工况 A：岩层锚杆,5.0,P1,锚杆屈服,170.0,726.24,0.8,726.24,580.9920000000001,136.0,1.25,145.24799999999993,True
工况 A：岩层锚杆,5.0,P2,锚固系统极限,334.265458341954,1427.9820380368276,0.8,726.24,580.9920000000001,136.0,2.4578342525143677,846.9900380368275,True
工况 A：岩层锚杆,5.0,P3,围岩压陷极限,400.0,1708.8000000000002,0.8,726.24,580.9920000000001,136.0,2.9411764705882355,1127.808,True
工况 B：煤层锚杆,0.6666666666666666,P1,锚杆屈服,205.0,1405.767,0.8,843.9876923076923,675.1901538461539,98.46153846153847,2.08203125,730.5768461538462,True
工况 B：煤层锚杆,0.6666666666666666,P2,锚固系统极限,169.64600329384882,1163.330502987239,0.8,843.9876923076923,675.1901538461539,98.46153846153847,1.722967220953152,488.14034914108515,True
工况 B：煤层锚杆,0.6666666666666666,P3,围岩压陷极限,123.07692307692308,843.9876923076923,0.8,843.9876923076923,675.1901538461539,98.46153846153847,1.25,168.79753846153847,True
