工况,实际预紧力_kN,P1_锚杆屈服上限_kN,P2_锚固上限_kN,P3_压陷上限_kN,主控约束,主控失效模式,最小安全系数,最小裕度_kN,最大允许力矩_Nm,是否安全,扰动幅度,扰动幅度百分比,样本编号,固定Topt_Nm,扰动_yield_load,扰动_hole_diameter,扰动_bond_length,扰动_elastic_modulus,扰动_poisson_ratio,扰动_tray_side,扰动_max_indent_depth,扰动_influence_depth,扰动_torque_conversion
工况 A：岩层锚杆,150.56618056847879,153.136709151795,356.01456445095977,333.2072405414365,P1,锚杆屈服,1.0170724167512977,2.570528583316218,590.91093755317,True,0.1,10.0,2186,580.9920000000001,-0.09919582851885295,0.0866113724047621,0.03072427025612179,-0.0621249151217252,0.07524332759386257,-0.02792141365324534,0.01757209851184334,0.09396430757598359,-0.09674271150056797
工况 A：岩层锚杆,150.35203183199863,153.4654290561344,415.9646605220728,458.4756485273089,P1,锚杆屈服,1.0207073837726028,3.113397224135781,593.0228243128121,True,0.1,10.0,4815,580.9920000000001,-0.09726218202273876,0.09942318872143291,0.06912455813630747,0.07434970031907012,0.04590089723791674,0.0030485147401662083,0.007385231024197483,-0.04400345127790169,-0.09545618810150441
工况 A：岩层锚杆,150.2985375224411,153.5505383058512,342.8899483174023,284.70525374755914,P1,锚杆屈服,1.0216369422950942,3.2520007834100966,593.5628903779113,True,0.1,10.0,2180,580.9920000000001,-0.09676153937734577,-0.015493270657613717,0.0206234005830761,0.02646094425444201,-0.0077916889948898005,-0.09733761342090196,-0.0670770274335101,0.09510112250443309,-0.09513424254248776
工况 A：岩层锚杆,150.98891911724112,154.3834588823422,364.74675864226515,451.5511143226696,P1,锚杆屈服,1.0224820456027324,3.3945397651010865,594.0538886388227,True,0.1,10.0,4162,580.9920000000001,-0.09186200657445752,0.017335699808185723,0.09754002672898474,-0.028789278481012426,-0.05435759338890689,0.057860154125398605,0.06680238342526987,0.01989556351828485,-0.09927164989903924
工况 A：岩层锚杆,150.46403170931634,154.08190172393512,332.2773292602886,359.84620325476715,P1,锚杆屈服,1.0240447499214176,3.6178700146187737,594.9618073463444,True,0.1,10.0,1333,580.9920000000001,-0.09363587221214627,-0.035522254363839295,0.01743005656974654,0.01647550257371018,-0.09982963504692222,-0.06493744503187465,0.07433879905342669,0.048105086320132245,-0.09612949716288076
工况 A：岩层锚杆,150.6703239990943,154.44101277812453,375.5861025827742,404.8919530078818,P1,锚杆屈服,1.0250260879445172,3.7706887790302233,595.5319568870609,True,0.1,10.0,2227,580.9920000000001,-0.09152345424632635,0.01672165778560801,0.09688347870924935,0.009530527346798351,0.03590260015362595,0.04008376126466637,-0.04854381627154776,0.03154266094946845,-0.09736704355386194
工况 A：岩层锚杆,149.72932684295128,153.4882903669274,387.0278981183686,388.456109439843,P1,锚杆屈服,1.025105058596295,3.7589635239761208,595.5778382039788,True,0.1,10.0,290,580.9920000000001,-0.0971277037239564,0.0792471218886805,-0.0010903666598439249,0.09373141872275495,-0.005004377540396024,-0.0705268645361657,0.09046715213631396,0.06029333854097732,-0.09169430686983418
工况 A：岩层锚杆,149.14672104816907,153.30043728473257,321.92838818510387,492.5960405136213,P1,锚杆屈服,1.0278498662751157,4.153716236563497,597.1725495069122,True,0.1,10.0,2948,580.9920000000001,-0.09823272185451436,0.09384266411007744,-0.05119444734151464,-0.09123323091856668,-0.038530781556331745,0.08942186914968797,0.07848231691617233,-0.06018139806055611,-0.08814622913448511
工况 A：岩层锚杆,150.30020572017008,154.5613107293882,286.17770902002127,299.04503094280324,P1,锚杆屈服,1.0283506265929634,4.261105009218113,597.463487245499,True,0.1,10.0,3186,580.9920000000001,-0.09081581923889302,-0.0762378511169991,-0.058634400901118,-0.01960434660584509,0.028261127519259188,-0.09125794110761708,0.006012558412403973,0.0936345659821691,-0.0951442857423249
工况 A：岩层锚杆,150.17828312651724,154.43991007901144,323.43669878100866,435.7368450234322,P1,锚杆屈服,1.0283771186071158,4.261626952494197,597.4788788937856,True,0.1,10.0,3848,580.9920000000001,-0.09152994071169746,0.06409250023673244,-0.07680380106283682,-0.01903397250584052,0.040953140840887914,0.04115995330894026,0.05309120755288785,0.03375429600805932,-0.09440967649478833
